iter	Passed	Remaining
0	1	121
1	2	113
2	3	109
3	4	102
4	6	114
5	7	113
6	8	114
7	10	123
8	11	119
9	12	116
10	14	113
11	15	113
12	16	110
13	18	111
14	19	110
15	20	110
16	22	107
17	23	105
18	24	103
19	25	102
20	26	100
21	27	98
22	29	98
23	31	98
24	32	97
25	33	95
26	34	93
27	36	93
28	37	91
29	38	89
30	40	89
31	41	88
32	42	87
33	45	88
34	46	86
35	47	85
36	49	84
37	51	83
38	52	81
39	53	80
40	55	79
41	56	77
42	57	76
43	58	74
44	59	72
45	61	71
46	62	70
47	63	68
48	64	67
49	66	66
50	67	64
51	69	63
52	70	62
53	71	61
54	72	59
55	73	57
56	74	56
57	76	55
58	77	54
59	79	52
60	81	51
61	82	50
62	83	48
63	84	47
64	86	46
65	87	44
66	88	43
67	90	42
68	92	41
69	94	40
70	95	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	110	22
83	111	21
84	113	20
85	115	18
86	117	17
87	118	16
88	119	14
89	121	13
90	122	12
91	124	10
92	125	9
93	127	8
94	128	6
95	130	5
96	131	4
97	132	2
98	134	1
99	135	0
