iter	Passed	Remaining
0	1	1545
1	2	1369
2	3	1305
3	5	1273
4	6	1240
5	7	1219
6	8	1202
7	9	1186
8	10	1176
9	11	1168
10	16	1480
11	17	1462
12	18	1433
13	20	1412
14	21	1394
15	22	1375
16	23	1359
17	24	1355
18	25	1340
19	27	1329
20	29	1360
21	30	1359
22	31	1351
23	32	1335
24	33	1319
25	34	1302
26	35	1288
27	36	1274
28	37	1262
29	38	1250
30	40	1270
31	41	1263
32	44	1301
33	45	1299
34	46	1291
35	47	1280
36	48	1270
37	49	1262
38	50	1253
39	51	1244
40	52	1237
41	54	1241
42	56	1249
43	57	1244
44	60	1273
45	61	1270
46	62	1262
47	63	1255
48	64	1247
49	65	1240
50	66	1233
51	67	1226
52	68	1222
53	69	1221
54	71	1220
55	72	1215
56	75	1242
57	76	1242
58	77	1238
59	78	1232
60	79	1226
61	80	1220
62	81	1215
63	82	1209
64	83	1207
65	84	1201
66	85	1196
67	86	1191
68	89	1209
69	90	1206
70	91	1201
71	92	1197
72	93	1192
73	94	1186
74	95	1181
75	96	1177
76	98	1176
77	99	1173
78	100	1169
79	101	1164
80	104	1179
81	105	1179
82	106	1171
83	107	1166
84	108	1162
85	109	1158
86	110	1154
87	110	1150
88	112	1146
89	113	1144
90	114	1141
91	115	1138
92	116	1134
93	119	1149
94	120	1147
95	121	1143
96	122	1139
97	123	1135
98	124	1131
99	125	1128
100	126	1124
101	127	1122
102	128	1118
103	129	1115
104	130	1112
105	132	1116
106	133	1115
107	134	1113
108	135	1109
109	136	1106
110	137	1102
111	138	1099
112	139	1095
113	140	1092
114	141	1090
115	142	1087
116	143	1082
117	144	1080
118	145	1077
119	148	1086
120	149	1085
121	150	1081
122	151	1078
123	152	1075
124	153	1072
125	154	1069
126	154	1065
127	155	1062
128	157	1060
129	158	1057
130	159	1054
131	160	1052
132	162	1060
133	163	1059
134	164	1057
135	165	1054
136	167	1052
137	168	1049
138	169	1046
139	169	1044
140	171	1042
141	171	1037
142	172	1035
143	173	1033
144	174	1030
145	177	1038
146	178	1037
147	179	1034
148	180	1032
149	181	1030
150	182	1028
151	183	1026
152	185	1024
153	186	1022
154	187	1019
155	188	1017
156	189	1015
157	192	1024
158	193	1023
159	194	1021
160	195	1017
161	196	1015
162	197	1012
163	198	1009
164	199	1007
165	200	1005
166	201	1003
167	202	1001
168	203	999
169	204	997
170	207	1004
171	208	1004
172	209	1002
173	210	1000
174	211	998
175	212	996
176	213	994
177	214	991
178	215	989
179	216	987
180	217	985
181	218	983
182	221	989
183	222	988
184	223	986
185	224	984
186	225	982
187	226	980
188	227	977
189	228	975
190	229	973
191	231	972
192	232	970
193	233	968
194	233	965
195	236	970
196	237	970
197	239	968
198	240	966
199	241	964
200	242	962
201	243	960
202	244	958
203	245	956
204	246	956
205	247	954
206	248	952
207	251	956
208	252	955
209	253	954
210	254	952
211	255	950
212	256	948
213	257	946
214	258	944
215	259	942
216	260	940
217	261	938
218	262	936
219	263	934
220	266	938
221	267	937
222	268	935
223	269	934
224	270	932
225	271	930
226	272	928
227	273	927
228	275	926
229	276	924
230	277	923
231	278	921
232	281	925
233	282	925
234	284	926
235	285	924
236	286	922
237	287	921
238	288	919
239	289	917
240	290	915
241	291	913
242	293	914
243	295	915
244	297	916
245	298	915
246	300	915
247	301	914
248	302	912
249	303	910
250	304	909
251	306	909
252	307	908
253	309	907
254	310	906
